url,url_length,is_ip,url_has_at_char,number_of_dots,is_https,domain_age,page_rank,url_redirection,domain_has_dash_char,url_has_https_token,has_DNS_record,A_records,avg_ttl,asn_count,AAAA_records,avg_AAAA_ttl,has_iframe,most_frequent_domain_in_anchor,most_frequent_domain_in_link,most_frequent_domain_in_source,common_page_rate,footer_common_page_rate,has_anchor_in_body,null_link_ratio,footer_null_link_ratio,phishing
http://vyh.strea.is-saved.org/,30,False,False,3,False,0,0,False,True,False,True,1,57.0,1,0,0,False,True,True,True,0,0,False,0,0,True
https://bt-server-104707.square.site/,37,False,False,2,True,0,0,False,True,False,True,2,56.0,1,0,0,False,True,True,True,0,0,False,0,0,True
https://uppholdx-loginx.godaddysites.com/,41,False,False,2,True,298177772.8205509,0,False,True,False,True,2,199.0,1,0,0,False,False,False,True,1.0,0,True,0.0,0,True
https://krakennlogins.godaddysites.com/,39,False,False,2,True,298177775.440537,2.23,False,False,False,True,2,200.0,1,0,0,False,False,False,True,1.0,0,True,0.0,0,True
https://gemini-u-k-login.godaddysites.com/,42,False,False,2,True,298177777.977293,1.51,False,True,False,True,2,201.0,1,0,0,False,True,False,True,1.0,0,True,0.0,0,True
https://sdfghf.formaloo.net/bt4mt,33,False,False,2,True,150033043.6481781,0,False,False,False,True,1,294.0,1,0,0,False,True,False,True,0,0,False,0,0,True
https://uchangepro.com/,23,False,False,1,True,72512828.04360104,0,False,False,False,True,2,36.0,1,2,36.0,False,True,True,True,0.16,0,True,0.0,0,True
https://bestchange.uchangepro-exchange.info,43,False,False,2,True,1155456.8657689095,0,False,True,False,True,1,3336.0,1,1,3336.0,False,False,True,True,0.6106094808126411,0,True,0.0,0,True
https://docs.google.com/presentation/d/e/2PACX-1vS-l8ofeOmKpv0uRWR6MBahO3UAd1y3I-GkUDcUqRm3s91cBtl8LdFNlHNxzlVMN1XrfzODdYIRe4LW/pub?start=false&loop=false&delayms=3000&slide=id.p,178,False,False,3,True,808672720.494056,8.85,False,False,False,True,1,281.0,1,1,276.0,False,True,False,True,0,0,False,0,0,True
https://abstemious973.sbs/?75d86-pl,35,False,False,1,True,0,0,False,False,False,True,2,46.0,1,2,46.0,False,True,True,True,0,0,False,0,0,True
https://xn5gdw.webwave.dev/,27,False,False,2,True,131532348.2325449,0,False,False,False,True,2,346.0,1,0,0,False,False,True,True,0.25,0,True,0.0,0,True
https://sp31016.sitebeat.crazydomains.com/,42,False,False,3,True,674961134.1287739,0,False,False,False,True,1,3346.0,1,0,0,False,True,True,True,1.0,0,True,0.0,0,True
https://sp472737.sitebeat.crazydomains.com/,43,False,False,3,True,674961142.995933,0,False,False,False,True,1,3347.0,1,0,0,False,True,True,True,1.0,0,True,0.0,0,True
https://sp130843.sitebeat.crazydomains.com/,43,False,False,3,True,674961146.959446,0,False,False,False,True,1,3348.0,1,0,0,False,True,True,True,1.0,0,True,0.0,0,True
http://buerkledirekt.de/?34824ba4ca4c219435bdd44892a7b8b0,57,False,False,1,False,0,0,False,False,False,True,1,3351.0,1,1,3351.0,False,True,True,True,0,0,False,0,0,True
https://aea.builderallwppro.com/lo/app/login.php,48,False,False,3,True,58683103.97939992,0,False,False,False,True,1,51.0,1,0,0,False,True,True,True,0.3,0,True,0.0,0,True
https://sp367936.sitebeat.crazydomains.com/,43,False,False,3,True,674961175.7816081,0,False,False,False,True,1,3354.0,1,0,0,False,True,True,True,1.0,0,True,0.0,0,True
